Ex: 2.2.6 -- Number of array accesses used by bottom-up merge
Output from MergeBU_AA

Length    Accesses  Expected  
1         0         0.00      
2         10        12.00     
3         24        28.53     
4         40        48.00     
5         62        69.66     
6         78        93.06     
7         98        117.91    
8         120       144.00    
9         158       171.18    
10        174       199.32    
11        194       228.32    
12        216       258.12    
13        244       288.63    
14        266       319.82    
15        292       351.62    
16        320       384.00    
17        390       416.92    
18        406       450.35    
19        426       484.26    
20        448       518.63    
21        476       553.43    
22        498       588.64    
23        524       624.25    
24        552       660.23    
25        596       696.58    
26        618       733.27    
27        644       770.29    
28        672       807.64    
29        706       845.29    
30        734       883.24    
31        766       921.48    
32        800       960.00    
33        934       998.79    
34        950       1037.84   
35        970       1077.15   
36        992       1116.70   
37        1020      1156.50   
38        1042      1196.53   
39        1068      1236.78   
40        1096      1277.26   
41        1140      1317.96   
42        1162      1358.86   
43        1188      1399.98   
44        1216      1441.29   
45        1250      1482.80   
46        1278      1524.50   
47        1310      1566.39   
48        1344      1608.47   
49        1420      1650.72   
50        1442      1693.16   
51        1468      1735.76   
52        1496      1778.54   
53        1530      1821.48   
54        1558      1864.58   
55        1590      1907.85   
56        1624      1951.27   
57        1674      1994.85   
58        1702      2038.58   
59        1734      2082.46   
60        1768      2126.48   
61        1808      2170.65   
62        1842      2214.96   
63        1880      2259.41   
64        1920      2304.00   
65        2182      2348.72   
66        2198      2393.58   
67        2218      2438.57   
68        2240      2483.68   
69        2268      2528.93   
70        2290      2574.30   
71        2316      2619.79   
72        2344      2665.41   
73        2388      2711.14   
74        2410      2757.00   
75        2436      2802.97   
76        2464      2849.05   
77        2498      2895.26   
78        2526      2941.57   
79        2558      2987.99   
80        2592      3034.53   
81        2668      3081.17   
82        2690      3127.92   
83        2716      3174.77   
84        2744      3221.73   
85        2778      3268.79   
86        2806      3315.95   
87        2838      3363.22   
88        2872      3410.58   
89        2922      3458.04   
90        2950      3505.60   
91        2982      3553.26   
92        3016      3601.01   
93        3056      3648.85   
94        3090      3696.79   
95        3128      3744.82   
96        3168      3792.94   
97        3308      3841.15   
98        3330      3889.45   
99        3356      3937.84   
100       3384      3986.31   
101       3418      4034.88   
102       3446      4083.52   
103       3478      4132.26   
104       3512      4181.07   
105       3562      4229.97   
106       3590      4278.96   
107       3622      4328.02   
108       3656      4377.17   
109       3696      4426.39   
110       3730      4475.70   
111       3768      4525.08   
112       3808      4574.54   
113       3890      4624.08   
114       3918      4673.70   
115       3950      4723.39   
116       3984      4773.15   
117       4024      4823.00   
118       4058      4872.91   
119       4096      4922.90   
120       4136      4972.96   
121       4192      5023.09   
122       4226      5073.30   
123       4264      5123.58   
124       4304      5173.92   
125       4350      5224.34   
126       4390      5274.82   
127       4434      5325.38   
128       4480      5376.00   
129       4998      5426.69   
130       5014      5477.45   
131       5034      5528.27   
132       5056      5579.16   
133       5084      5630.12   
134       5106      5681.14   
135       5132      5732.22   
136       5160      5783.37   
137       5204      5834.58   
138       5226      5885.86   
139       5252      5937.20   
140       5280      5988.60   
141       5314      6040.06   
142       5342      6091.58   
143       5374      6143.17   
144       5408      6194.82   
145       5484      6246.52   
146       5506      6298.29   
147       5532      6350.11   
148       5560      6401.99   
149       5594      6453.94   
150       5622      6505.94   
151       5654      6557.99   
152       5688      6610.11   
153       5738      6662.28   
154       5766      6714.51   
155       5798      6766.80   
156       5832      6819.14   
157       5872      6871.53   
158       5906      6923.98   
159       5944      6976.49   
160       5984      7029.05   
161       6124      7081.67   
162       6146      7134.33   
163       6172      7187.06   
164       6200      7239.83   
165       6234      7292.66   
166       6262      7345.54   
167       6294      7398.47   
168       6328      7451.46   
169       6378      7504.49   
170       6406      7557.58   
171       6438      7610.72   
172       6472      7663.91   
173       6512      7717.14   
174       6546      7770.43   
175       6584      7823.77   
176       6624      7877.16   
177       6706      7930.60   
178       6734      7984.08   
179       6766      8037.62   
180       6800      8091.20   
181       6840      8144.83   
182       6874      8198.51   
183       6912      8252.24   
184       6952      8306.01   
185       7008      8359.83   
186       7042      8413.70   
187       7080      8467.62   
188       7120      8521.58   
189       7166      8575.58   
190       7206      8629.64   
191       7250      8683.73   
192       7296      8737.88   
193       7564      8792.07   
194       7586      8846.30   
195       7612      8900.58   
196       7640      8954.90   
197       7674      9009.27   
198       7702      9063.68   
199       7734      9118.13   
200       7768      9172.63   
201       7818      9227.17   
202       7846      9281.75   
203       7878      9336.38   
204       7912      9391.05   
205       7952      9445.76   
206       7986      9500.51   
207       8024      9555.31   
208       8064      9610.15   
209       8146      9665.03   
210       8174      9719.95   
211       8206      9774.91   
212       8240      9829.91   
213       8280      9884.96   
214       8314      9940.04   
215       8352      9995.17   
216       8392      10050.33  
217       8448      10105.54  
218       8482      10160.79  
219       8520      10216.07  
220       8560      10271.39  
221       8606      10326.76  
222       8646      10382.16  
223       8690      10437.60  
224       8736      10493.09  
225       8882      10548.60  
226       8910      10604.16  
227       8942      10659.76  
228       8976      10715.39  
229       9016      10771.07  
230       9050      10826.78  
231       9088      10882.52  
232       9128      10938.31  
233       9184      10994.13  
234       9218      11049.99  
235       9256      11105.89  
236       9296      11161.82  
237       9342      11217.79  
238       9382      11273.80  
239       9426      11329.84  
240       9472      11385.92  
241       9560      11442.04  
242       9594      11498.19  
243       9632      11554.38  
244       9672      11610.60  
245       9718      11666.86  
246       9758      11723.15  
247       9802      11779.48  
248       9848      11835.84  
249       9910      11892.24  
250       9950      11948.68  
251       9994      12005.14  
252       10040     12061.65  
253       10092     12118.18  
254       10138     12174.76  
255       10188     12231.36  
256       10240     12288.00  
257       11270     12344.67  
258       11286     12401.38  
259       11306     12458.12  
