Ex: 2.2.6 -- Number of array accesses used by top-down merge
Output from Merge_AA

Length    Accesses  Expected  
1         0         0.00      
2         10        12.00     
3         24        28.53     
4         40        48.00     
5         58        69.66     
6         78        93.06     
7         98        117.91    
8         120       144.00    
9         142       171.18    
10        166       199.32    
11        190       228.32    
12        216       258.12    
13        240       288.63    
14        266       319.82    
15        292       351.62    
16        320       384.00    
17        346       416.92    
18        374       450.35    
19        402       484.26    
20        432       518.63    
21        460       553.43    
22        490       588.64    
23        520       624.25    
24        552       660.23    
25        580       696.58    
26        610       733.27    
27        640       770.29    
28        672       807.64    
29        702       845.29    
30        734       883.24    
31        766       921.48    
32        800       960.00    
33        830       998.79    
34        862       1037.84   
35        894       1077.15   
36        928       1116.70   
37        960       1156.50   
38        994       1196.53   
39        1028      1236.78   
40        1064      1277.26   
41        1096      1317.96   
42        1130      1358.86   
43        1164      1399.98   
44        1200      1441.29   
45        1234      1482.80   
46        1270      1524.50   
47        1306      1566.39   
48        1344      1608.47   
49        1376      1650.72   
50        1410      1693.16   
51        1444      1735.76   
52        1480      1778.54   
53        1514      1821.48   
54        1550      1864.58   
55        1586      1907.85   
56        1624      1951.27   
57        1658      1994.85   
58        1694      2038.58   
59        1730      2082.46   
60        1768      2126.48   
61        1804      2170.65   
62        1842      2214.96   
63        1880      2259.41   
64        1920      2304.00   
65        1954      2348.72   
66        1990      2393.58   
67        2026      2438.57   
68        2064      2483.68   
69        2100      2528.93   
70        2138      2574.30   
71        2176      2619.79   
72        2216      2665.41   
73        2252      2711.14   
74        2290      2757.00   
75        2328      2802.97   
76        2368      2849.05   
77        2406      2895.26   
78        2446      2941.57   
79        2486      2987.99   
80        2528      3034.53   
81        2564      3081.17   
82        2602      3127.92   
83        2640      3174.77   
84        2680      3221.73   
85        2718      3268.79   
86        2758      3315.95   
87        2798      3363.22   
88        2840      3410.58   
89        2878      3458.04   
90        2918      3505.60   
91        2958      3553.26   
92        3000      3601.01   
93        3040      3648.85   
94        3082      3696.79   
95        3124      3744.82   
96        3168      3792.94   
97        3204      3841.15   
98        3242      3889.45   
99        3280      3937.84   
100       3320      3986.31   
101       3358      4034.88   
102       3398      4083.52   
103       3438      4132.26   
104       3480      4181.07   
105       3518      4229.97   
106       3558      4278.96   
107       3598      4328.02   
108       3640      4377.17   
109       3680      4426.39   
110       3722      4475.70   
111       3764      4525.08   
112       3808      4574.54   
113       3846      4624.08   
114       3886      4673.70   
115       3926      4723.39   
116       3968      4773.15   
117       4008      4823.00   
118       4050      4872.91   
119       4092      4922.90   
120       4136      4972.96   
121       4176      5023.09   
122       4218      5073.30   
123       4260      5123.58   
124       4304      5173.92   
125       4346      5224.34   
126       4390      5274.82   
127       4434      5325.38   
128       4480      5376.00   
129       4518      5426.69   
130       4558      5477.45   
131       4598      5528.27   
132       4640      5579.16   
133       4680      5630.12   
134       4722      5681.14   
135       4764      5732.22   
136       4808      5783.37   
137       4848      5834.58   
138       4890      5885.86   
139       4932      5937.20   
140       4976      5988.60   
141       5018      6040.06   
142       5062      6091.58   
143       5106      6143.17   
144       5152      6194.82   
145       5192      6246.52   
146       5234      6298.29   
147       5276      6350.11   
148       5320      6401.99   
149       5362      6453.94   
150       5406      6505.94   
151       5450      6557.99   
152       5496      6610.11   
153       5538      6662.28   
154       5582      6714.51   
155       5626      6766.80   
156       5672      6819.14   
157       5716      6871.53   
158       5762      6923.98   
159       5808      6976.49   
160       5856      7029.05   
161       5896      7081.67   
162       5938      7134.33   
163       5980      7187.06   
164       6024      7239.83   
165       6066      7292.66   
166       6110      7345.54   
167       6154      7398.47   
168       6200      7451.46   
169       6242      7504.49   
170       6286      7557.58   
171       6330      7610.72   
172       6376      7663.91   
173       6420      7717.14   
174       6466      7770.43   
175       6512      7823.77   
176       6560      7877.16   
177       6602      7930.60   
178       6646      7984.08   
179       6690      8037.62   
180       6736      8091.20   
181       6780      8144.83   
182       6826      8198.51   
183       6872      8252.24   
184       6920      8306.01   
185       6964      8359.83   
186       7010      8413.70   
187       7056      8467.62   
188       7104      8521.58   
189       7150      8575.58   
190       7198      8629.64   
191       7246      8683.73   
192       7296      8737.88   
193       7336      8792.07   
194       7378      8846.30   
195       7420      8900.58   
196       7464      8954.90   
197       7506      9009.27   
198       7550      9063.68   
199       7594      9118.13   
200       7640      9172.63   
201       7682      9227.17   
202       7726      9281.75   
203       7770      9336.38   
204       7816      9391.05   
205       7860      9445.76   
206       7906      9500.51   
207       7952      9555.31   
208       8000      9610.15   
209       8042      9665.03   
210       8086      9719.95   
211       8130      9774.91   
212       8176      9829.91   
213       8220      9884.96   
214       8266      9940.04   
215       8312      9995.17   
216       8360      10050.33  
217       8404      10105.54  
218       8450      10160.79  
219       8496      10216.07  
220       8544      10271.39  
221       8590      10326.76  
222       8638      10382.16  
223       8686      10437.60  
224       8736      10493.09  
225       8778      10548.60  
226       8822      10604.16  
227       8866      10659.76  
228       8912      10715.39  
229       8956      10771.07  
230       9002      10826.78  
231       9048      10882.52  
232       9096      10938.31  
233       9140      10994.13  
234       9186      11049.99  
235       9232      11105.89  
236       9280      11161.82  
237       9326      11217.79  
238       9374      11273.80  
239       9422      11329.84  
240       9472      11385.92  
241       9516      11442.04  
242       9562      11498.19  
243       9608      11554.38  
244       9656      11610.60  
245       9702      11666.86  
246       9750      11723.15  
247       9798      11779.48  
248       9848      11835.84  
249       9894      11892.24  
250       9942      11948.68  
251       9990      12005.14  
252       10040     12061.65  
253       10088     12118.18  
254       10138     12174.76  
255       10188     12231.36  
256       10240     12288.00  
257       10282     12344.67  
258       10326     12401.38  
259       10370     12458.12  
